Id,Designator,Package,Qty,Designation,Supplier and ref,Replace
1,"R414,R204,R205,R206,R212,R213,R304,R305,R306,R312,R313,R404,R405,R407,R413",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,15,10K,603-MFR-25FTF52-10K,
2,"FB101,FB102",L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1,2,Ferrite_Bead 68R,623-2743001111,
3,"J111,J103,J107,J114",PinHeader_1x08_P2.54mm_Vertical,4,Conn_01x08_Male,,
4,"C101,C102",CP_Radial_D5.0mm_P2.50mm,2,10u,667-ECE-A1VKS100,
5,"C201,C202,C203,C204,C205,C206,C207,C208,C301,C302,C303,C304,C305,C306,C401,C402,C403,C404,C405,C406,C407,C408",C_Disc_D5.0mm_W2.5mm_P2.50mm,22,100n,75-1C10Z5U104M050B,
6,"D101,D102",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4001,512-1N4001,750-1N4001-G
7,"D201,D301,D401",TO-92L_Inline_Wide,3,TL431,595-TL431BQLPR,
8,"J101,J102,J105,J106,J109,J110,J113,J119,J120",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles-esnho,9,PJ302M,,
9,"J104,J108,J112,J115",PinSocket_1x08_P2.54mm_Vertical,4,Conn_01x08_Female,,
10,J116,IDC-Header_2x08_P2.54mm_Vertical,1,Eurorack_Header_LZX,,
11,J117,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,,
12,J118,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,,
13,"R101,R103,R106,R107,R109,R111,R114,R117,R120",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,9,499R,660-MF1/4DCT52R4990F,
14,"R102,R105,R110,R113,R116,R119",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,6,B10K,Mech_Pot_Alpha,652-PTV09A-4225FB103
15,"R104,R108,R112,R115,R118,R121",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,6,100K,660-MF1/4DCT52R1003F,660-MF1/4DCVTR1003F
16,"R201,R211,R301,R311,R401,R412",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,6,4.99K,660-MF1/4DCT52R4991F,
17,"R202,R302,R402",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,665R,660-MF1/4DCT52R6650F,
18,"R203,R208,R303,R308,R403,R406,R409",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,7,1K,660-MF1/4DCT52R1001F,
19,"R207,R209,R210,R307,R309,R310,R408,R410,R411",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,9,1.5K,660-MF1/4DCT52R1501F,
20,"S101,S102,S103",Switch_ON-ON_118-2MS1T4B3M2CES_Vertical_TOP,3,SW_SPDT,10TF230,118-2MS1T4B3M2CES
21,"U201,U203,U301,U401,U403",DIP-8_W7.62mm_LongPads,5,LM6172,926-LM6172IN/NOPB,LM6172IN/NOPB-ND
22,"U202,U302,U402",DIP-8_W7.62mm_LongPads,3,TL072,595-TL072IP,
23,"U204,U303,U404",DIP-14_W7.62mm,3,LT1251_LZX,584-LT1251CN#PBF,
